agency_id,route_id,route_short_name,route_type,route_long_name,route_url,route_color,route_text_color,route_sort_order
Operadora Exemplo,905,905,3,Trindade-madalena (c.saúde),http://www.exemplo.pt/pt/viajar/linhas/?linha=905,FF7900,FFFFFF,56
Operadora Exemplo,906,906,3,Trindade-madalena,http://www.exemplo.pt/pt/viajar/linhas/?linha=906,FF7900,FFFFFF,57
Operadora Exemplo,907,907,3,Boavista-vila D'este,http://www.exemplo.pt/pt/viajar/linhas/?linha=907,FF7900,FFFFFF,58
Operadora Exemplo,107,ZC,3,Estádio Do Dragão - Areias,http://www.exemplo.pt/pt/viajar/linhas/?linha=107,187EC2,FFFFFF,59
Operadora Exemplo,1M,1M,3,Av.aliados - Matosinhos (praia),http://www.exemplo.pt/pt/viajar/linhas/?linha=1M,000000,FFFFFF,60
Operadora Exemplo,2M,2M,3,Av.aliados - Hospital S. João,http://www.exemplo.pt/pt/viajar/linhas/?linha=2M,000000,FFFFFF,61
Operadora Exemplo,3M,3M,3,Av.aliados - Aeroporto,http://www.exemplo.pt/pt/viajar/linhas/?linha=3M,000000,FFFFFF,62
Operadora Exemplo,4M,4M,3,Av.aliados - Maia (câmara),http://www.exemplo.pt/pt/viajar/linhas/?linha=4M,000000,FFFFFF,63
Operadora Exemplo,5M,5M,3,Av.aliados - Ermesinde (estação),http://www.exemplo.pt/pt/viajar/linhas/?linha=5M,000000,FFFFFF,64
Operadora Exemplo,7M,7M,3,Av.aliados - Valongo,http://www.exemplo.pt/pt/viajar/linhas/?linha=7M,000000,FFFFFF,65
Operadora Exemplo,8M,8M,3,Av.aliados - S.pedro Da Cova,http://www.exemplo.pt/pt/viajar/linhas/?linha=8M,000000,FFFFFF,66
Operadora Exemplo,9M,9M,3,Aliados-gondomar (via Tic),http://www.exemplo.pt/pt/viajar/linhas/?linha=9M,000000,FFFFFF,67
Operadora Exemplo,10M,10M,3,Av.aliados - Vila D'este,http://www.exemplo.pt/pt/viajar/linhas/?linha=10M,000000,FFFFFF,68
Operadora Exemplo,11M,11M,3,Hosp. S. João - Coimbrões,http://www.exemplo.pt/pt/viajar/linhas/?linha=11M,000000,FFFFFF,69
Operadora Exemplo,12M,12M,3,Av.aliados - Sto.ovídio,http://www.exemplo.pt/pt/viajar/linhas/?linha=12M,000000,FFFFFF,70
Operadora Exemplo,13M,13M,3,Av.aliados - Matosinhos (mercado),http://www.exemplo.pt/pt/viajar/linhas/?linha=13M,000000,FFFFFF,71
